u-r color,Mr luminosity,log10density,redshift,velocity of dispersion of host cluster (-99 if not in a cluster)
1.29,-20.56,-0.3971,0.06934,-99
1.404,-20.17,-0.76,0.04845,332.5
2.091,-20.07,-0.7619,0.04682,332.5
1.764,-19.79,-0.7773,0.04733,332.5
2.016,-20.74,-0.5725,0.07036,-99
2.407,-21.27,-0.8254,0.04687,332.5
2.401,-21.15,-0.7667,0.07008,-99
1.512,-18.72,-1.071,0.02331,-99
1.412,-20.52,-0.4461,0.06985,-99
1.854,-20.15,-0.4918,0.06988,-99
2.489,-22.2,-0.3746,0.07024,-99
1.385,-20.37,-0.2702,0.07034,-99
2.382,-22.05,-1.43,0.07569,-99
2.512,-21.77,-0.5344,0.0711,-99
1.201,-19.46,-0.7174,0.04681,332.5
1.973,-21.14,-0.5327,0.07094,-99
1.844,-22.18,-0.9396,0.07672,-99
2.356,-19.05,-0.9651,0.02269,-99
1.429,-19.95,0.1346,0.07047,-99
1.661,-19.61,-0.3926,0.04803,332.5
2.502,-22.46,-0.6811,0.04771,332.5
1.951,-20.4,-0.7646,0.04841,332.5
2.488,-20.95,-0.6556,0.04764,332.5
1.462,-20.59,0.6295,0.05294,-99
1.399,-19.53,-0.6611,0.05225,-99
1.704,-20.83,0.2585,0.07899,-99
1.68,-21.15,-0.1294,0.06229,-99
2.47,-22.2,0.7149,0.07928,-99
2.667,-20.39,0.6285,0.0795,-99
2.435,-22.24,0.3561,0.07986,-99
1.782,-21.01,-0.1882,0.07835,-99
2.348,-20.87,0.02145,0.05664,-99
2.029,-21.12,-0.4233,0.0547,-99
1.794,-20.96,-0.4509,0.0549,-99
1.025,-19.26,-0.162,0.07823,-99
2.05,-20.25,0.5642,0.07823,-99
2.342,-20.83,0.6413,0.07977,-99
2.296,-21.77,-0.03386,0.07921,-99
2.356,-21.2,0.4231,0.05449,-99
1.171,-20.64,0.3842,0.05717,-99
2.091,-22.06,0.8274,0.0556,-99
2.462,-22.25,0.1866,0.078,-99
1.58,-20.32,-0.5278,0.05469,-99
1.648,-21.34,0.2855,0.07801,-99
2.542,-20.82,0.3944,0.07878,-99
1.449,-20.56,0.1805,0.07829,-99
2.338,-21.51,-0.005181,0.07557,-99
1.145,-20.37,-0.2088,0.0751,-99
2.498,-20.87,-0.3837,0.05441,-99
1.74,-21.51,0.5081,0.07881,-99
2.35,-20.37,0.9624,0.07682,-99
2.142,-20.34,0.5077,0.07799,-99
1.506,-21.01,0.965,0.07779,-99
1.636,-20.87,0.2987,0.07787,-99
1.186,-20.84,0.8397,0.07901,-99
0.9891,-20.2,0.864,0.07794,-99
1.508,-20.91,-0.1433,0.05462,-99
2.383,-23.29,0.8562,0.07836,-99
1.3,-20.56,0.5761,0.07895,-99
2.367,-21.06,0.57,0.07861,-99
1.596,-20.85,0.2217,0.07877,-99
1.561,-20.48,0.323,0.07922,-99
2.373,-20.62,0.1643,0.07847,-99
2.453,-22.01,-0.5467,0.06594,-99
1.464,-20.49,0.05605,0.07835,-99
1.785,-21.16,-0.3145,0.07862,-99
1.962,-20.73,-0.2351,0.06644,-99
2.262,-21.24,-0.6568,0.03909,902.6
2.09,-20.12,0.06018,0.06769,-99
1.75,-21.72,0.1474,0.06719,-99
1.503,-20.06,0.6403,0.06662,-99
2.355,-20.19,0.8721,0.066,-99
2.248,-20.93,-0.2695,0.07102,-99
1.221,-20.45,-0.2872,0.07262,-99
2.132,-19.02,0.6376,0.03779,902.6
2.32,-19.82,0.2116,0.05185,-99
2.305,-20.19,0.6594,0.03909,902.6
3.362,-23.56,0.653,0.03662,902.6
1.346,-19.89,-0.1101,0.05238,-99
2.06,-21.26,-0.5598,0.05166,-99
1.038,-19.6,-0.5507,0.06586,-99
2.251,-20.45,-0.4959,0.07946,-99
2.145,-20.01,0.4185,0.0724,-99
2.389,-20.57,0.6746,0.07307,-99
1.551,-20.86,-0.6145,0.07856,-99
1.26,-20.51,0.4248,0.07182,-99
2.271,-21.01,0.662,0.0726,-99
2.365,-21.7,0.5898,0.07272,-99
2.08,-21.34,0.4447,0.0734,-99
2.121,-21.89,-0.2342,0.07506,-99
2.15,-20.85,-0.8752,0.06342,-99
1.921,-20.81,-0.5587,0.07547,-99
1.893,-20.74,-0.7821,0.07952,-99
2.314,-20.57,0.4976,0.07218,-99
2.398,-21.54,0.8104,0.07213,-99
2.429,-20.68,0.8879,0.07336,-99
2.561,-22.11,0.7664,0.07211,-99
2.322,-20.55,0.4801,0.07379,-99
2.438,-21.83,0.7066,0.07303,-99
2.362,-20.77,-0.489,0.07972,-99
2.503,-21.79,-0.7651,0.05435,-99
1.782,-20.22,-0.7335,0.05456,-99
1.266,-21.16,-0.6001,0.05449,-99
2.469,-20.45,-0.6598,0.05446,-99
1.676,-22.38,0.2333,0.06641,-99
1.851,-20.01,0.4114,0.06613,-99
1.98,-20.04,0.3073,0.06646,-99
1.88,-21.39,0.8719,0.06601,-99
1.777,-21.71,-0.08037,0.06789,-99
2.521,-22.69,0.8861,0.06625,-99
1.608,-20.82,-0.325,0.05892,-99
1.118,-19.83,0.172,0.06572,-99
1.318,-19.54,-0.2134,0.03825,902.6
2.481,-22.1,0.8059,0.06856,-99
1.287,-18.73,0.09877,0.0371,902.6
2.46,-22.01,-0.08274,0.06793,-99
1.56,-21.42,-0.1358,0.07731,-99
1.635,-20.22,0.7883,0.07194,-99
1.831,-19.71,-0.003699,0.03727,902.6
2.288,-21.49,0.3962,0.07163,-99
1.719,-20.31,0.3256,0.06995,-99
2.096,-20.85,-0.1049,0.07662,-99
1.575,-20.52,-0.4748,0.05219,-99
