u-r color,Mr luminosity,log10density,redshift,velocity of dispersion of host cluster (-99 if not in a cluster)
1.513,-21.04,-0.1597,0.03632,-99
2.535,-21.96,0.6417,0.07008,-99
1.329,-20.58,-0.4715,0.06365,-99
1.41,-20.41,-0.6974,0.07522,-99
2.601,-21.23,-0.2239,0.03631,-99
2.541,-22.4,1.096,0.0687,-99
2.355,-21.19,0.1862,0.06933,-99
1.807,-21,1.111,0.06908,-99
1.171,-20.78,-0.3671,0.05988,-99
2.399,-21.38,0.7063,0.07037,-99
2.48,-22.02,0.09127,0.07,-99
2.295,-20.95,0.455,0.06961,-99
1.532,-21.14,0.6289,0.06787,-99
2.334,-20.2,-0.0574,0.06102,-99
1.533,-21.46,0.02941,0.06054,-99
2.468,-21.1,-0.04579,0.06111,-99
2.3,-20.37,0.03053,0.07295,-99
1.277,-18.73,0.9555,0.03554,-99
1.957,-20.34,0.6683,0.03551,-99
1.323,-18.54,-0.04889,0.06088,-99
1.889,-20.51,0.713,0.06979,-99
1.768,-20.65,-0.4835,0.06461,-99
2.074,-22.52,0.7248,0.07163,-99
2.436,-20.24,1.069,0.06928,-99
2.584,-21.88,1.168,0.03588,-99
2.079,-20.61,1.544,0.03634,-99
2.433,-20.16,1.294,0.03531,-99
2.586,-22,-0.4468,0.06661,-99
2.395,-20.76,-0.5478,0.05993,-99
2.529,-21.09,-0.5741,0.06002,-99
1.623,-20.81,-0.1904,0.06539,-99
1.74,-21.44,-0.6306,0.07216,-99
1.232,-18.99,-0.8936,0.04182,-99
2.431,-21.1,-0.2398,0.0678,-99
2.1,-20.91,-0.4453,0.05987,-99
1.718,-20.79,0.3558,0.06791,-99
2.372,-20.74,-0.1692,0.06859,-99
2.201,-21.37,0.0631,0.0685,-99
1.483,-21.06,-0.05555,0.06806,-99
1.79,-21.52,-0.7956,0.06019,-99
2.471,-20.88,1.037,0.06941,-99
1.406,-20.4,0.752,0.06811,-99
2.441,-21.91,0.6946,0.0702,-99
1.75,-22,-0.7612,0.06079,-99
1.729,-19.85,-0.2304,0.06044,-99
1.723,-20.83,-0.174,0.06792,-99
1.26,-18.38,-0.4211,0.03625,-99
2.548,-21.19,-0.3073,0.06851,-99
0.6452,-20.6,-0.7538,0.05952,-99
2.419,-21.93,-0.6245,0.0778,-99
2.484,-21.06,0.1499,0.06167,-99
1.453,-20.32,0.2919,0.06247,-99
2.121,-19.87,-0.6407,0.05999,-99
2.139,-19.36,-0.4295,0.03722,-99
2.549,-22.23,-0.641,0.06916,-99
1.36,-20.77,-0.4439,0.07832,-99
1.821,-21.38,-0.2527,0.07825,-99
2.278,-20.19,0.7866,0.0595,-99
2.513,-22.56,1.112,0.0588,-99
2.328,-20.2,1.075,0.0585,-99
2.315,-19.88,1.245,0.06004,-99
1.777,-20.4,0.8951,0.06032,-99
1.581,-19.17,-0.5624,0.03673,-99
1.612,-17.89,0.497,0.02592,-99
1.449,-18.59,0.2483,0.02566,-99
2.387,-19.38,0.2246,0.02254,-99
1.483,-18.49,0.2438,0.02233,-99
1.471,-20.09,-0.07284,0.02605,-99
1.473,-20.83,-0.7159,0.07312,-99
1.191,-17.3,0.06571,0.02237,-99
1.931,-21.53,0.005256,0.07205,-99
2.424,-21.62,0.2818,0.07194,-99
1.869,-20.55,0.01902,0.07182,-99
2.284,-18.69,-0.04273,0.02204,-99
2.412,-21.18,-1.169,0.07697,-99
1.593,-20.27,-0.02406,0.0724,-99
1.518,-20.25,0.1532,0.0716,-99
2.314,-20.95,-0.02643,0.07262,-99
2.401,-21.66,-0.6021,0.07209,-99
1.837,-20.27,-0.3393,0.03722,-99
1.999,-21.63,-0.256,0.03804,-99
2.57,-21.53,-0.5482,0.07138,-99
2.558,-20.99,-0.2779,0.03706,-99
1.817,-20.79,0.1617,0.07952,912.4
2.224,-20.08,-11.14,0.06274,-99
2.394,-20.22,-0.4941,0.03707,-99
1.549,-20.53,-0.9572,0.07008,-99
2.419,-21.53,1.09,0.07314,-99
2.552,-22.01,1.312,0.07106,-99
2.567,-22.34,0.5356,0.0714,-99
2.05,-21.05,0.926,0.07031,-99
2.379,-21.17,-0.3034,0.0712,-99
1.728,-20.79,-0.342,0.07127,-99
1.338,-18.97,-0.3002,0.02296,-99
2.195,-18.39,-0.1566,0.02614,-99
1.374,-21.07,-0.8443,0.06112,-99
2.045,-19.35,0.1557,0.02279,-99
1.213,-18.07,0.2962,0.02369,-99
2.551,-21.74,-0.2942,0.0262,-99
0.9838,-17.57,-0.2505,0.02674,-99
1.372,-20.74,-0.3764,0.07379,-99
1.803,-20.23,-0.1586,0.07291,-99
1.571,-17.55,0.07337,0.02269,-99
2.088,-21.87,-0.6304,0.06234,-99
2.34,-20.52,-0.4279,0.07612,217
1.872,-22.25,-0.4085,0.07667,217
2.563,-21.78,-0.578,0.07819,-99
2.476,-20.28,-0.4032,0.07779,-99
2.278,-20.81,-0.3326,0.07604,217
1.259,-20.79,-0.8235,0.06133,-99
1.675,-20.37,-0.6961,0.06246,807.6
1.449,-20.3,-0.5455,0.07427,-99
2.567,-21.66,0.6179,0.0633,-99
2.508,-21.48,0.5672,0.06347,-99
2.274,-22.01,-0.2622,0.07856,912.4
2.204,-22.73,-0.2357,0.07722,-99
1.524,-20.85,-0.1023,0.07929,912.4
2.232,-22.04,-0.3327,0.07816,-99
1.968,-21.49,-0.2457,0.07821,-99
2.752,-20.94,-0.2758,0.0788,912.4
2.403,-21.4,-0.4031,0.079,912.4
1.549,-20.77,-0.09279,0.07832,-99
1.914,-20.32,-0.3037,0.07855,912.4
2.546,-22.12,-0.1047,0.07951,912.4
2.045,-20.68,-0.8856,0.06228,-99
2.492,-21.56,-0.2381,0.07833,-99
2.369,-21.07,-0.2998,0.07815,-99
1.673,-20.18,-0.2952,0.02376,-99
2.284,-20.83,0.2773,0.06376,-99
2.46,-20.41,-0.4527,0.06341,-99
2.368,-20.6,0.4981,0.064,-99
2.286,-20.4,-0.4101,0.07813,-99
1.628,-20.35,-0.3984,0.07504,-99
1.835,-20.77,0.8993,0.07645,-99
2.487,-21.13,0.8041,0.07476,-99
2.521,-22.31,0.9313,0.07466,-99
1.839,-21.84,0.5561,0.07518,-99
2.304,-20.79,-0.3563,0.07447,-99
1.729,-20.59,-0.4315,0.07411,-99
2.23,-23.05,-0.331,0.07554,-99
2.047,-20.82,0.5759,0.07332,-99
2.027,-20.18,-0.1487,0.07479,-99
2.408,-20.38,-0.272,0.07357,-99
1.771,-20.17,0.08526,0.02221,-99
2.527,-20.23,0.2637,0.02392,-99
2.619,-22.15,0.1348,0.02422,-99
1.683,-19.2,0.2074,0.02482,-99
2.457,-21.48,-0.8845,0.07933,912.4
2.222,-19.04,0.1399,0.02431,-99
2.637,-21.91,0.1038,0.0724,-99
1.38,-16.74,0.05309,0.02574,-99
1.28,-18.31,0.1384,0.02311,-99
2.391,-21.17,0.09078,0.07359,-99
2.104,-20.68,0.3204,0.07327,-99
1.707,-21.52,0.2138,0.07391,-99
2.6,-21.45,0.2717,0.07364,-99
2.357,-21.14,-0.08349,0.07299,-99
1.889,-21.13,-0.1335,0.07305,-99
1.444,-19.79,0.6018,0.05935,-99
2.511,-22.8,0.6407,0.06182,-99
2.375,-20.72,0.1262,0.0615,-99
3.052,-19.07,0.9844,0.06078,-99
2.387,-20.72,0.8094,0.06071,-99
1.86,-18.87,0.5385,0.06151,-99
2.466,-20.16,0.07239,0.07218,-99
2.609,-22.03,0.8247,0.06129,-99
2.193,-21.94,0.7402,0.06136,-99
2.203,-20.27,0.7671,0.06072,-99
2.552,-20.2,1.144,0.06119,-99
2.277,-20.01,0.7378,0.06137,-99
2.443,-20.11,0.8581,0.06009,-99
1.054,-18.72,1.359,0.06041,-99
2.157,-20.95,0.8221,0.06149,-99
2.43,-20.53,0.913,0.06236,-99
1.663,-20.82,0.1131,0.06306,-99
2.018,-21.64,0.7936,0.06192,-99
1.594,-21.05,0.6142,0.0743,-99
2.161,-21.94,0.2832,0.07466,-99
2.117,-20.42,0.1357,0.07729,-99
2.11,-20.55,0.5802,0.07446,-99
1.408,-18.9,-0.09153,0.0239,-99
2.49,-22.36,0.7632,0.0799,912.4
1.944,-20.21,0.3133,0.06106,-99
2.19,-20.5,0.8799,0.06308,-99
1.586,-20.16,0.2109,0.07708,-99
2.47,-22.6,0.1747,0.07677,-99
2.252,-21.8,-0.3256,0.06259,-99
2.533,-22.11,-0.434,0.06119,-99
2.3,-21.8,-0.5698,0.06207,807.6
2.517,-20.51,0.5323,0.07982,912.4
2.519,-21.27,0.3505,0.07996,912.4
2.542,-21.07,-0.2356,0.06086,-99
2.431,-20.97,0.7142,0.07882,912.4
2.516,-21.94,0.2589,0.07836,912.4
2.371,-20.24,-0.3145,0.06226,807.6
2.425,-20.59,-0.1765,0.07889,912.4
2.455,-23.11,1.005,0.07958,912.4
2.34,-21.45,0.4447,0.07877,912.4
1.304,-20.88,0.2981,0.0611,-99
2.374,-21.1,0.6809,0.07778,-99
2.287,-20.81,0.3388,0.06187,807.6
2.381,-21,0.2768,0.06274,807.6
2.669,-21.79,0.1688,0.06187,807.6
1.982,-19.76,0.2947,0.03923,-99
2.548,-20.54,-0.1054,0.03744,-99
1.835,-18.84,0.1527,0.03986,-99
1.683,-20.11,-0.1028,0.03869,-99
2.307,-18.63,1.09,0.03913,-99
1.917,-20.73,0.6782,0.03954,-99
1.22,-19.73,1.18,0.03975,-99
1.682,-20.53,-0.7968,0.07258,1401
1.475,-19.52,-0.1222,0.03909,-99
2.263,-21.72,-0.4904,0.07521,217
1.549,-19.72,-0.7245,0.05763,-99
4.678,-17.47,-0.7041,0.05682,-99
1.813,-21.01,-0.5729,0.07914,912.4
1.632,-19.17,0.1399,0.03903,-99
1.901,-21.01,-0.6018,0.07405,217
2.313,-20.38,-0.6984,0.07027,217
2.318,-20.69,-0.4693,0.07938,912.4
1.734,-19.76,0.2879,0.0397,-99
2.472,-22.24,0.2527,0.07288,217
2.436,-22.42,0.3876,0.07238,217
2.439,-21.28,0.6818,0.07308,217
1.614,-20.96,-0.9917,0.06761,807.6
2.368,-21.5,0.7265,0.07552,217
2.507,-21.43,1.01,0.07513,217
2.293,-21.03,0.7053,0.07577,217
1.813,-20.83,0.1886,0.07578,217
1.507,-15.15,0.08532,0.03881,-99
2.065,-21.21,0.5635,0.07522,217
1.062,-20.72,0.1403,0.07415,217
1.508,-20.4,-0.7338,0.05769,-99
1.469,-21.36,0.5506,0.07364,217
2.356,-21.3,0.5518,0.07397,217
2.346,-20.18,0.6263,0.07404,217
2.454,-21.43,0.9312,0.07194,217
2.151,-21.6,-0.6017,0.06326,807.6
1.686,-21.96,0.7936,0.07309,217
2.461,-20.9,0.8683,0.07365,217
2.335,-20.71,-0.6417,0.06328,807.6
2.259,-21.56,0.729,0.07582,217
2.304,-21,1.548,0.07343,217
2.456,-22.16,1.459,0.07325,217
2.415,-20.48,0.6518,0.07481,217
1.435,-19.73,0.5548,0.07675,217
1.885,-21.47,0.1856,0.07609,217
1.654,-20.61,0.4806,0.07601,217
2.293,-22.38,-0.1792,0.07357,217
2.372,-20.69,0.1247,0.07443,217
2.099,-21.83,0.5613,0.07326,217
1.482,-20.28,0.3312,0.07307,217
2.429,-20.9,-0.07311,0.04048,-99
1.585,-19.84,-0.5902,0.05763,-99
2.541,-21.92,-0.08457,0.0793,912.4
2.222,-20.73,-0.1584,0.07885,912.4
1.136,-19.75,-0.03456,0.07853,912.4
2.504,-21.2,0.179,0.07582,217
2.37,-20.19,0.537,0.07317,217
1.109,-19.46,0.3217,0.07606,217
2.09,-21.59,0.6581,0.07353,217
1.465,-20.42,0.2108,0.07278,217
2.478,-21.3,-0.04761,0.074,217
1.519,-19.2,-0.6627,0.06539,807.6
2.452,-22.54,0.01517,0.07364,217
2.175,-20.25,0.4979,0.07453,217
2.316,-21,0.2001,0.07408,217
2.407,-20.51,0.3621,0.0735,217
2.434,-21,-0.3763,0.077,1401
2.523,-20.45,0.1443,0.07361,217
1.396,-20.44,-0.2699,0.07658,217
2.467,-21.81,-0.07023,0.07581,217
1.812,-22.48,-0.2742,0.07378,217
1.803,-21.54,-0.3588,0.07647,217
2.604,-21.34,-0.1262,0.07344,217
1.311,-20.62,-0.8009,0.06279,807.6
2.298,-20.67,0.9533,0.07945,912.4
2.463,-21.77,0.06742,0.06079,-99
2.628,-21.68,0.751,0.0793,912.4
2.487,-22.36,0.1658,0.07927,912.4
1.934,-21.39,-0.1012,0.06304,807.6
2.214,-21.78,0.2355,0.07993,912.4
1.678,-19.95,0.2934,0.06293,807.6
1.57,-19.67,0.197,0.06155,807.6
2.559,-22.09,0.1468,0.06257,807.6
2.525,-22.06,0.5886,0.06218,807.6
2.026,-21.31,0.4373,0.06226,807.6
2.486,-21.62,0.1543,0.06199,807.6
1.646,-20.43,-0.661,0.07832,1401
1.803,-20.83,0.2437,0.06183,807.6
1.879,-21.93,-0.162,0.06123,-99
1.407,-19.84,-0.4467,0.05387,-99
0.894,-19.94,0.2706,0.06159,807.6
2.531,-21.72,-0.5718,0.05414,-99
2.216,-21.84,-0.003043,0.06229,807.6
1.691,-20.24,-0.5518,0.07782,1401
1.434,-19.61,-0.2374,0.06106,-99
1.518,-20.74,-0.5645,0.05378,-99
2.041,-20.38,-0.1853,0.06306,807.6
1.254,-20.01,0.1684,0.06271,807.6
2.189,-20.96,-0.2303,0.06343,807.6
1.399,-20.53,0.2531,0.06255,807.6
1.966,-21.42,0.07265,0.06278,807.6
1.609,-20.59,0.1672,0.06089,-99
2.009,-20.48,-0.7947,0.07978,912.4
1.726,-20.24,0.2294,0.06347,807.6
1.658,-20.51,-0.345,0.03895,-99
1.165,-20.02,-0.9175,0.05493,-99
2.49,-21.97,0.1241,0.06002,-99
2.929,-20.47,0.338,0.06295,807.6
1.249,-20.06,0.28,0.06329,807.6
2.206,-21.58,-0.3211,0.05985,-99
2.032,-20.6,0.04283,0.06515,807.6
1.692,-20.24,-0.7986,0.07261,1401
1.65,-21.02,0.05412,0.06302,807.6
1.518,-19.28,0.00683,0.03903,-99
1.206,-18.18,-0.07519,0.05959,-99
1.636,-20.46,-0.8699,0.07257,1401
2.388,-21.07,-0.2482,0.06351,807.6
2.553,-20.77,0.1479,0.06471,807.6
1.639,-20.21,0.1014,0.06464,807.6
1.886,-20.55,-0.04734,0.03882,-99
1.247,-20.16,0.5285,0.06394,807.6
2.095,-21.3,-0.02522,0.06435,230.9
2.364,-22.18,0.4443,0.06405,230.9
1.862,-21.1,-0.03143,0.06339,230.9
2.225,-20.16,0.6691,0.06582,230.9
2.457,-21.34,0.7505,0.06566,230.9
2.343,-20.84,-0.00632,0.06935,-99
1.564,-20.9,0.1878,0.07178,1401
2.289,-20.03,-0.1528,0.06414,230.9
1.704,-19.95,-0.138,0.06437,230.9
2.394,-20.46,-0.2706,0.03925,-99
1.063,-21.46,-0.02091,0.06933,-99
1.459,-20.97,-0.6874,0.05938,556.3
1.559,-20.34,-11.13,0.053,-99
1.96,-21.8,0.3416,0.06907,-99
1.686,-20.97,0.007248,0.0703,-99
2.256,-21.79,-0.2174,0.07149,-99
0.9674,-19.83,-0.6333,0.07359,1401
1.494,-18.97,-0.1492,0.03917,-99
1.545,-20.43,0.6959,0.064,230.9
1.464,-21.12,0.5019,0.06516,230.9
1.369,-19.56,0.5664,0.06543,230.9
1.236,-20.12,0.5347,0.06553,230.9
1.919,-20.52,0.4082,0.06406,230.9
1.369,-20.13,0.7584,0.06383,807.6
2.307,-20.8,1.454,0.0662,807.6
2.514,-20.1,1.835,0.06554,807.6
2.433,-21.1,1.146,0.06497,807.6
2.221,-21.39,1.687,0.06453,807.6
2.174,-21.31,1.151,0.06866,-99
2.306,-21.2,-11.17,0.0531,-99
1.336,-20.39,-0.05606,0.05959,556.3
2.337,-21.69,0.05396,0.06877,-99
2.185,-20.95,1.565,0.06542,807.6
1.938,-20.23,-0.03764,0.06419,807.6
1.319,-18.71,0.04998,0.0389,-99
1.998,-21.4,0.4327,0.06345,807.6
2.124,-19.88,0.71,0.06544,807.6
2.623,-22.7,0.4523,0.06827,-99
1.989,-18.9,-0.1891,0.03827,-99
1.223,-20.23,-0.4797,0.0722,1401
2.542,-20.24,1.178,0.06616,807.6
2.533,-21.13,-0.06047,0.06445,807.6
1.877,-21.06,0.8663,0.06314,807.6
2.129,-20.05,-0.2874,0.03972,-99
2.377,-22.18,0.117,0.06491,807.6
1.758,-21.23,0.03045,0.06479,807.6
2.255,-19.95,0.07756,0.06524,807.6
1.826,-20.42,0.05452,0.06813,807.6
1.206,-19.29,0.08094,0.0659,807.6
2.249,-22.8,0.1038,0.06616,807.6
1.578,-20.63,-0.002578,0.06051,556.3
1.949,-20.4,0.3106,0.06219,807.6
3.033,-25.25,-0.363,0.06674,807.6
1.884,-20.43,-0.3152,0.06819,-99
1.059,-18.76,-0.08059,0.06663,807.6
1.305,-19.85,0.851,0.0652,807.6
2.585,-21.48,0.5641,0.06419,807.6
1.53,-20.53,0.6617,0.06429,807.6
1.611,-20.22,0.6823,0.06343,807.6
2.203,-20.35,0.6562,0.06469,807.6
2.384,-21.22,0.3791,0.06527,807.6
1.556,-20.42,-0.4518,0.07425,217
1.29,-20.16,-0.7322,0.06544,807.6
2.094,-21.23,-0.2361,0.07312,217
0.6794,-18.02,-0.1683,0.04329,-99
1.235,-19.64,-0.4084,0.06501,807.6
1.53,-20.53,0.4953,0.07279,217
1.42,-19.67,0.03084,0.03862,-99
1.561,-19.86,0.3611,0.03928,-99
2.509,-21.35,1.34,0.07346,217
1.645,-20.56,0.0996,0.04023,-99
2.572,-20.92,0.1913,0.07465,217
1.692,-18.91,0.471,0.03899,-99
1.672,-19.65,0.2173,0.04118,-99
2.837,-19.47,0.7686,0.03943,-99
2.291,-21.43,-0.09521,0.05954,-99
1.251,-20.03,0.08682,0.06536,807.6
1.946,-21.07,0.1471,0.06489,807.6
1.52,-20.19,0.01001,0.06498,807.6
1.59,-21.11,-0.05173,0.0647,807.6
2.287,-20.05,-0.8532,0.05934,-99
1.507,-20.57,-0.6842,0.07166,-99
1.859,-21.87,0.08195,0.03883,-99
2.482,-21.78,-0.07284,0.03877,-99
1.475,-20.32,-0.2953,0.03985,-99
2.038,-20.12,0.112,0.06496,807.6
1.736,-19.49,0.2533,0.03969,-99
2.063,-21.21,0.5168,0.06521,807.6
1.555,-20.86,1.057,0.06325,807.6
2.208,-20.44,0.6222,0.06491,807.6
2.185,-20.69,1.039,0.06314,807.6
2.428,-21.79,0.7652,0.03952,-99
2.388,-21.76,0.7243,0.06324,807.6
2.251,-19.51,1.058,0.03976,-99
1.728,-20.77,0.01576,0.06063,556.3
1.417,-20.31,-0.1694,0.06526,807.6
1.347,-19.4,-0.1285,0.04056,-99
2.27,-20.22,0.6835,0.06492,807.6
2.45,-21.24,0.5502,0.06428,807.6
2.372,-20.41,0.0573,0.06039,556.3
1.812,-19.67,-1.053,0.05554,-99
2.346,-20.78,0.131,0.0637,807.6
2.358,-21.62,0.448,0.06291,807.6
1.713,-20.07,0.5702,0.06392,807.6
1.47,-20.26,0.3854,0.06316,807.6
2.356,-20.15,0.7587,0.06335,807.6
2.334,-21.48,0.3835,0.06331,807.6
1.799,-18.25,0.4853,0.0642,807.6
1.091,-18.08,-0.2272,0.03843,-99
2.107,-21.51,0.4009,0.06218,807.6
1.208,-19.97,0.01544,0.06481,807.6
1.509,-21.66,-0.2734,0.03906,-99
2.649,-21.92,0.6841,0.06355,807.6
2.66,-21.06,0.8037,0.06566,807.6
2.19,-21.51,0.9091,0.06599,807.6
2.087,-21.03,-0.2471,0.04034,-99
2.455,-22.85,-0.4978,0.07231,1401
2.11,-20.06,0.03947,0.06507,807.6
1.668,-20.69,0.6902,0.06306,807.6
2.419,-20.24,0.3344,0.06503,807.6
1.478,-19.26,-0.4102,0.0409,-99
1.504,-19.06,0.2341,0.04485,-99
2.048,-21.32,-0.5084,0.06325,807.6
2.298,-18.75,-0.01193,0.03865,-99
1.282,-18.77,-0.4923,0.04306,-99
1.449,-20.06,0.124,0.04531,-99
1.628,-19.21,-0.2095,0.04033,-99
2.19,-21.19,0.228,0.04431,-99
1.766,-19.88,-0.1756,0.04247,-99
1.257,-19.5,-0.1953,0.04248,-99
2.033,-20.35,-0.8252,0.07245,1401
1.942,-21.85,-0.4223,0.06976,-99
1.643,-20.41,0.3474,0.04416,-99
2.559,-22.64,0.1734,0.04488,-99
1.689,-20.2,0.08081,0.04763,-99
1.911,-20.69,-0.2371,0.04504,-99
1.354,-19.38,0.2607,0.04698,-99
1.803,-20.3,-0.3199,0.06416,230.9
1.114,-19.07,-0.217,0.04342,-99
1.727,-19.57,0.1812,0.04374,-99
0.5766,-20.28,-0.007665,0.04719,-99
1.523,-19.56,0.5319,0.04748,-99
2.492,-21.83,0.3497,0.04454,-99
2.444,-22.21,-0.3166,0.064,230.9
1.917,-19.48,-0.4721,0.03971,-99
1.621,-18.18,-0.476,0.04002,-99
1.975,-21.07,-0.526,0.0627,230.9
2.304,-21.06,-0.4916,0.04132,924.5
2.225,-20.55,0.5774,0.06565,807.6
2.21,-20.02,0.8176,0.06345,230.9
1.533,-21.33,0.6316,0.06904,-99
2.301,-20.43,0.9646,0.06638,230.9
1.107,-18.15,0.08717,0.04021,-99
1.722,-20.47,0.4087,0.06618,807.6
2.347,-21.45,0.8236,0.06722,807.6
2.5,-21.21,0.9453,0.06465,807.6
1.47,-19.18,0.976,0.06452,807.6
1.758,-20.08,0.7717,0.06298,807.6
1.225,-19.87,-0.1134,0.06271,807.6
0.749,-19.75,-0.3018,0.06286,807.6
2.212,-20.43,-0.03621,0.04499,924.5
1.773,-20.49,-0.4615,0.06388,807.6
1.324,-20.2,-0.1861,0.04284,924.5
2.287,-21.84,-0.3192,0.06335,807.6
1.099,-19.34,-0.3483,0.06296,807.6
2.306,-20.55,0.6082,0.06369,230.9
2.492,-21.1,1.082,0.06318,230.9
2.493,-21.78,0.9555,0.06268,230.9
1.521,-20.68,0.7929,0.06355,230.9
1.711,-20.41,0.9673,0.06454,230.9
2.209,-19.91,0.9938,0.06606,230.9
1.466,-19.99,0.9773,0.0623,230.9
2.207,-22.73,-0.2417,0.05802,556.3
1.628,-20.11,0.3216,0.06358,807.6
1.331,-19.2,-0.05038,0.04479,924.5
1.454,-20.3,0.6624,0.0647,807.6
2.416,-20.19,1.296,0.05786,556.3
2.29,-20.19,1.026,0.05864,556.3
2.451,-20.94,1.305,0.05826,556.3
1.361,-19.95,0.8906,0.05816,556.3
1.585,-20.04,1.208,0.05706,556.3
2.315,-22.99,1.149,0.05818,556.3
2.443,-21.84,1.747,0.0635,230.9
2.608,-20.9,1.911,0.06275,230.9
1.04,-21.18,1.259,0.06414,230.9
2.22,-21.01,1.058,0.06379,230.9
2.428,-22.98,0.179,0.06364,230.9
1.974,-20.47,0.3878,0.06398,230.9
2.355,-21.34,1.748,0.06341,230.9
1.643,-21.4,1.287,0.06473,230.9
1.398,-20.09,0.01935,0.06445,230.9
2.449,-20.96,0.2843,0.05808,556.3
1.847,-20.44,0.006823,0.06385,230.9
1.828,-19.94,1.41,0.05746,556.3
1.607,-20.68,-0.04206,0.06351,230.9
2.039,-21.74,1.144,0.0585,556.3
1.652,-19.98,0.7959,0.05668,-99
2,-22.05,0.5509,0.05879,556.3
2.002,-20.34,0.9861,0.05872,556.3
1.457,-20.8,-0.04569,0.06351,230.9
2.726,-20,0.2602,0.05967,556.3
1.438,-21.22,0.3931,0.05929,556.3
1.759,-18.99,-0.1781,0.04368,924.5
2.112,-21.95,-0.2818,0.0638,230.9
1.581,-20.8,-0.2084,0.07166,-99
2.488,-21.82,-0.08605,0.07168,-99
1.894,-20.95,0.00331,0.07137,-99
2.015,-21.9,0.443,0.06836,-99
2.545,-21.31,0.7476,0.06346,230.9
2.439,-20.93,0.65,0.0689,-99
2.138,-20.34,0.202,0.06912,-99
1.214,-20.77,0.5501,0.06794,807.6
2.764,-22.4,0.3639,0.07164,-99
2.501,-21.48,0.7818,0.06417,230.9
1.842,-21.23,0.3152,0.064,230.9
1.136,-20.71,0.7589,0.06602,230.9
1.896,-21.66,0.24,0.07101,-99
2.29,-20.5,0.6083,0.06356,230.9
2.25,-20.14,0.5488,0.06369,230.9
2.243,-19.98,0.847,0.0642,230.9
2.202,-20.66,0.3481,0.06004,556.3
1.538,-20.9,1.08,0.0672,807.6
1.573,-18.97,-0.6124,0.0588,556.3
2.47,-21.29,-0.05961,0.06951,-99
2.51,-20.56,-0.004652,0.06824,-99
2.654,-21.9,-0.05107,0.06856,-99
1.88,-20.6,0.00679,0.06809,807.6
1.3,-20.23,0.4105,0.0707,-99
1.746,-21.18,1.759,0.06589,807.6
2.402,-20.75,1.278,0.06228,807.6
2.48,-19.68,0.5056,0.0691,-99
2.582,-21.72,-0.2762,0.03945,-99
2.286,-20.3,1.681,0.06352,807.6
1.72,-20.53,-0.2675,0.03921,-99
2.662,-22.11,0.4423,0.06399,807.6
1.672,-21,0.5081,0.06013,556.3
1.979,-22.06,-0.7967,0.07475,1401
2.266,-20.99,-0.3279,0.03936,-99
2.35,-20.8,0.07521,0.06006,556.3
2.438,-21.57,0.09003,0.04723,-99
1.528,-19.56,0.4876,0.04734,-99
2.061,-20.41,-0.2779,0.05053,-99
2.208,-21.51,0.562,0.0645,807.6
1.59,-18.89,-0.4489,0.04118,924.5
2.331,-21.61,0.3165,0.07129,-99
2.627,-21.45,-0.4344,0.04576,924.5
2.275,-19.09,0.4713,0.04617,924.5
2.501,-20.42,-0.251,0.04448,924.5
2.295,-19.81,0.2578,0.06474,230.9
2.57,-21.86,0.1893,0.07165,-99
2.466,-21.68,-0.1664,0.0461,924.5
1.771,-20.53,-0.6368,0.04943,-99
2.532,-20.15,0.454,0.06271,230.9
2.586,-23.01,0.3698,0.06431,230.9
2.184,-21,0.2069,0.06504,230.9
1.343,-20.19,0.2223,0.06381,230.9
2.534,-19.65,0.2412,0.06356,230.9
2.448,-20.43,-0.1593,0.07139,-99
1.712,-20.32,-0.122,0.06351,230.9
1.402,-20.28,-0.1737,0.07027,-99
2.335,-20.12,-0.2246,0.04293,924.5
2.95,-19.98,-0.1853,0.07071,-99
2.352,-20.13,0.1048,0.06318,230.9
2.389,-20.84,-0.4332,0.07033,-99
2.613,-21.54,-0.3084,0.072,1401
1.639,-20.32,-0.8872,0.076,1401
1.567,-20.46,-0.6186,0.07581,1401
2.597,-20.19,-0.9081,0.05647,-99
2.316,-20.43,0.02637,0.06384,230.9
2.03,-21.14,0.007638,0.06449,230.9
2.339,-19.23,1.179,0.06367,230.9
3.363,-16.82,-0.2342,0.07088,-99
2.28,-20.95,-0.4481,0.07225,1401
2.372,-21.01,-0.1777,0.07029,-99
2.187,-20.6,0.002713,0.07252,1401
1.465,-22.31,-0.5033,0.05963,556.3
2.333,-20.23,-0.2628,0.07175,-99
1.828,-20.95,-0.2111,0.06341,807.6
1.922,-20.86,-0.1035,0.0697,-99
1.073,-18.85,-0.06125,0.04525,924.5
2.414,-21.61,0.1773,0.0447,924.5
1.691,-20.35,-0.8613,0.03838,-99
1.817,-21.69,-0.4253,0.06455,807.6
2.031,-21.01,-0.277,0.06966,-99
2.218,-21.99,-0.5224,0.06454,807.6
2.04,-22.25,0.79,0.0602,556.3
1.574,-20.01,0.6466,0.05989,556.3
2.361,-21.32,-0.7121,0.07315,1401
2.263,-21.09,-0.3336,0.07391,1401
2.173,-20.7,0.3788,0.05999,556.3
1.504,-20.13,0.2999,0.05953,556.3
2.632,-21.6,0.6474,0.06,556.3
1.59,-20.18,-0.7364,0.06784,807.6
2.054,-21.68,-0.5717,0.06789,807.6
1.514,-20.26,0.2308,0.06694,807.6
2.442,-19.97,0.2015,0.0673,807.6
